client_id,round_number,hierarchy,num_samples,set,accuracy,loss,model_size,avg_epoch_time,total_train_time,is_slow,round_completion_time,trained_epochs,model_download_time,model_report_time,model_download_size,model_report_size
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,1, ,250, test,0.04,None,6734280,52847,528476,1,681,10,2.098,6.544,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,1, ,250, test,0,None,26415305,46347,463476,0,681,10,2.884,4.407,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,2, ,250, test,0.56,None,6734281,52867,528673,1,584,10,2.447,6.443,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,2, ,250, test,0.48,None,26415306,54090,540903,0,584,10,4.928,5.604,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,3, ,250, test,0.76,None,6734279,52431,524317,1,614,10,3.05,6.461,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,3, ,250, test,0.54,None,26415307,56848,568484,0,614,10,6.474,5.029,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,4, ,250, test,0.84,None,6734279,52525,525253,1,627,10,2.321,6.169,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,4, ,250, test,0.6,None,26415304,58366,583665,0,627,10,5.004,5.278,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,5, ,250, test,0.86,None,6734277,52702,527023,1,624,10,2.38,6.377,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,5, ,250, test,0.6,None,26415309,58078,580785,0,624,10,5.002,4.203,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,6, ,250, test,0.88,None,6734277,53828,538282,1,701,10,2.548,6.264,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,6, ,250, test,0.6,None,26415307,65439,654391,0,701,10,5.027,4.938,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,7, ,250, test,0.88,None,6734278,54484,544846,1,636,10,2.42,6.679,6,8
d718a1fa-e4db-4004-b139-2597182459bc_1,7, ,250, test,0.6,None,26415308,59090,590908,0,636,10,5.03,5.31,25,34
8e7b0e69-d17d-40b0-bcdb-040c309c4482_1,8, ,250, test,0.88,None,6734274,52461,524618,1,639,10,2.974,6.205,6,8
